date,base,currency,rate,collected_at
2026-09-09,USD,KRW,1336.2,2026-09-10T14:36:38+09:00
2026-09-09,USD,JPY,153.27,2026-09-10T14:36:38+09:00
2026-09-09,USD,EUR,0.85822,2026-09-10T14:36:38+09:00
2026-09-09,USD,KRW,1336.2,2026-09-10T14:46:48+09:00
2026-09-09,USD,JPY,153.27,2026-09-10T14:46:48+09:00
2026-09-09,USD,EUR,0.85822,2026-09-10T14:46:48+09:00
2026-09-09,USD,KRW,1336.2,2026-09-10T14:54:07+09:00
2026-09-09,USD,JPY,153.27,2026-09-10T14:54:07+09:00
2026-09-09,USD,EUR,0.85822,2026-09-10T14:54:07+09:00
2026-09-09,USD,KRW,1336.2,2026-09-10T14:58:13+09:00
2026-09-09,USD,JPY,153.27,2026-09-10T14:58:13+09:00
2026-09-09,USD,EUR,0.85822,2026-09-10T14:58:13+09:00
2026-09-09,USD,KRW,1336.2,2026-09-10T14:59:45+09:00
2026-09-09,USD,JPY,153.27,2026-09-10T14:59:45+09:00
2026-09-09,USD,EUR,0.85822,2026-09-10T14:59:45+09:00
2026-09-09,USD,KRW,1336.2,2026-09-10T14:59:59+09:00
2026-09-09,USD,JPY,153.27,2026-09-10T14:59:59+09:00
2026-09-09,USD,EUR,0.85822,2026-09-10T14:59:59+09:00
2026-09-09,USD,KRW,1336.2,2026-09-10T15:01:14+09:00
2026-09-09,USD,JPY,153.27,2026-09-10T15:01:14+09:00
2026-09-09,USD,EUR,0.85822,2026-09-10T15:01:14+09:00
