date,base,currency,rate,collected_at
2026-09-09,USD,KRW,1336.2,2026-09-10T14:36:38+09:00
2026-09-09,USD,JPY,153.27,2026-09-10T14:36:38+09:00
2026-09-09,USD,EUR,0.85822,2026-09-10T14:36:38+09:00
2026-09-09,USD,KRW,1336.2,2026-09-10T14:46:48+09:00
2026-09-09,USD,JPY,153.27,2026-09-10T14:46:48+09:00
2026-09-09,USD,EUR,0.85822,2026-09-10T14:46:48+09:00
2026-09-09,USD,KRW,1336.2,2026-09-10T14:54:07+09:00
2026-09-09,USD,JPY,153.27,2026-09-10T14:54:07+09:00
2026-09-09,USD,EUR,0.85822,2026-09-10T14:54:07+09:00
2026-09-09,USD,KRW,1336.2,2026-09-10T14:58:13+09:00
2026-09-09,USD,JPY,153.27,2026-09-10T14:58:13+09:00
2026-09-09,USD,EUR,0.85822,2026-09-10T14:58:13+09:00
2026-09-09,USD,KRW,1336.2,2026-09-10T14:59:45+09:00
2026-09-09,USD,JPY,153.27,2026-09-10T14:59:45+09:00
2026-09-09,USD,EUR,0.85822,2026-09-10T14:59:45+09:00
2026-09-09,USD,KRW,1336.2,2026-09-10T14:59:59+09:00
2026-09-09,USD,JPY,153.27,2026-09-10T14:59:59+09:00
2026-09-09,USD,EUR,0.85822,2026-09-10T14:59:59+09:00
2026-09-09,USD,KRW,1336.2,2026-09-10T15:01:14+09:00
2026-09-09,USD,JPY,153.27,2026-09-10T15:01:14+09:00
2026-09-09,USD,EUR,0.85822,2026-09-10T15:01:14+09:00
2026-09-09,USD,KRW,1336.2,2026-09-10T16:00:15+09:00
2026-09-09,USD,JPY,153.27,2026-09-10T16:00:15+09:00
2026-09-09,USD,EUR,0.85822,2026-09-10T16:00:15+09:00
2026-09-09,USD,KRW,1336.2,2026-09-10T17:02:22+09:00
2026-09-09,USD,JPY,153.27,2026-09-10T17:02:22+09:00
2026-09-09,USD,EUR,0.85822,2026-09-10T17:02:22+09:00
2026-09-10,USD,KRW,1343.8,2026-09-11T10:02:36+09:00
2026-09-10,USD,JPY,154.18,2026-09-11T10:02:36+09:00
2026-09-10,USD,EUR,0.86088,2026-09-11T10:02:36+09:00
2026-09-10,USD,KRW,1343.8,2026-09-11T11:02:06+09:00
2026-09-10,USD,JPY,154.18,2026-09-11T11:02:06+09:00
2026-09-10,USD,EUR,0.86088,2026-09-11T11:02:06+09:00
2026-09-10,USD,KRW,1343.8,2026-09-11T12:01:07+09:00
2026-09-10,USD,JPY,154.18,2026-09-11T12:01:07+09:00
2026-09-10,USD,EUR,0.86088,2026-09-11T12:01:07+09:00
2026-09-10,USD,KRW,1343.8,2026-09-11T13:51:46+09:00
2026-09-10,USD,JPY,154.18,2026-09-11T13:51:46+09:00
2026-09-10,USD,EUR,0.86088,2026-09-11T13:51:46+09:00
2026-09-10,USD,KRW,1343.8,2026-09-11T14:00:12+09:00
2026-09-10,USD,JPY,154.18,2026-09-11T14:00:12+09:00
2026-09-10,USD,EUR,0.86088,2026-09-11T14:00:12+09:00
2026-09-10,USD,KRW,1343.8,2026-09-11T15:03:17+09:00
2026-09-10,USD,JPY,154.18,2026-09-11T15:03:17+09:00
2026-09-10,USD,EUR,0.86088,2026-09-11T15:03:17+09:00
